COTU_ID	Sample1	Sample2	NO_of_Seqs	Kingdom	Phylum	Class	Order	Family	Genus
COTU-TEST-0053	174	180	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Eubacteriaceae(0.5)	Eubacterium(0.5)
COTU-TEST-0054	20	24	1	Bacteria(1.0)	Firmicutes(0.98)	Clostridia(0.92)	Clostridiales(0.92)	Ruminococcaceae(0.76)	Anaerobacterium(0.18)
COTU-TEST-0055	18	51	1	Bacteria(1.0)	Firmicutes(0.97)	Clostridia(0.87)	Clostridiales(0.83)	Defluviitaleaceae(0.22)	Defluviitalea(0.22)
COTU-TEST-0056	7	3	1	Bacteria(1.0)	Firmicutes(0.98)	Clostridia(0.89)	Clostridiales(0.82)	Defluviitaleaceae(0.27)	Defluviitalea(0.27)
COTU-TEST-0057	5	7	1	Bacteria(1.0)	Firmicutes(0.99)	Clostridia(0.97)	Clostridiales(0.96)	Lachnospiraceae(0.32)	Robinsoniella(0.15)
COTU-TEST-0058	8	20	1	Bacteria(1.0)	Firmicutes(0.98)	Clostridia(0.98)	Clostridiales(0.97)	Lachnospiraceae(0.44)	Robinsoniella(0.22)
COTU-TEST-0059	10	20	1	Bacteria(1.0)	Firmicutes(0.96)	Clostridia(0.89)	Clostridiales(0.89)	Christensenellaceae(0.09)	Christensenella(0.09)
COTU-TEST-0060	9	14	1	Bacteria(1.0)	Firmicutes(0.88)	Clostridia(0.84)	Clostridiales(0.84)	Christensenellaceae(0.08)	Christensenella(0.08)
COTU-TEST-0061	11	17	1	Bacteria(1.0)	Firmicutes(0.95)	Clostridia(0.93)	Clostridiales(0.92)	Ruminococcaceae(0.34)	Anaerobacterium(0.24)
COTU-TEST-0062	0	10	1	Bacteria(1.0)	Firmicutes(0.95)	Clostridia(0.93)	Clostridiales(0.93)	Ruminococcaceae(0.45)	Anaerobacterium(0.25)
COTU-TEST-0063	2	10	1	Bacteria(1.0)	Firmicutes(0.94)	Clostridia(0.91)	Clostridiales(0.91)	Ruminococcaceae(0.43)	Anaerobacterium(0.2)
COTU-TEST-0064	9	26	1	Bacteria(1.0)	Firmicutes(0.95)	Clostridia(0.9)	Clostridiales(0.88)	Ruminococcaceae(0.4)	Anaerobacterium(0.28)
COTU-TEST-0065	2	11	1	Bacteria(1.0)	Firmicutes(0.96)	Clostridia(0.94)	Clostridiales(0.93)	Christensenellaceae(0.18)	Christensenella(0.18)
COTU-TEST-0066	2	8	1	Bacteria(1.0)	Firmicutes(0.96)	Clostridia(0.89)	Clostridiales(0.89)	Lachnospiraceae(0.24)	Lactonifactor(0.12)
COTU-TEST-0067	611	595	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Stomatobaculum(0.49)
COTU-TEST-0068	181	190	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Stomatobaculum(0.56)
COTU-TEST-0069	12	9	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Acetatifactor(0.35)
COTU-TEST-0070	8	4	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Acetatifactor(0.96)
COTU-TEST-0071	8	3	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Acetatifactor(0.97)
COTU-TEST-0072	7	1	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Acetatifactor(0.96)
