COTU_ID	Sample1	Sample2	NO_of_Seqs	Kingdom	Phylum	Class	Order	Family	Genus
COTU-TEST-0110	22	10	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Acetatifactor(1.0)
COTU-TEST-0111	126	150	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Eisenbergiella(0.22)
COTU-TEST-0112	20	36	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Eisenbergiella(0.17)
COTU-TEST-0113	40	54	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.95)	ClostridiumXlVa(0.4)
COTU-TEST-0114	20	9	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.98)	Acetatifactor(0.26)
COTU-TEST-0115	11	4	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.98)	ClostridiumXlVa(0.36)
COTU-TEST-0116	21	14	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.98)	ClostridiumXlVa(0.22)
COTU-TEST-0117	22	25	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	ClostridiumXlVa(0.76)
COTU-TEST-0118	5	7	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	ClostridiumXlVa(0.72)
COTU-TEST-0119	1	10	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	ClostridiumXlVa(0.74)
COTU-TEST-0120	6	5	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Butyrivibrio(0.4)
COTU-TEST-0121	9	14	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.94)	Coprococcus(0.24)
COTU-TEST-0122	7	20	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.98)	Marvinbryantia(0.34)
COTU-TEST-0123	29	38	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Acetatifactor(0.66)
COTU-TEST-0124	17	24	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Coprococcus(0.16)
COTU-TEST-0125	67	8	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(0.99)	Clostridiales(0.98)	Lachnospiraceae(0.89)	Ruminococcus2(0.23)
COTU-TEST-0126	31	22	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.99)	Murimonas(0.18)
COTU-TEST-0127	58	49	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Murimonas(0.24)
COTU-TEST-0128	31	20	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Murimonas(0.23)
COTU-TEST-0129	2	6	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.98)	Lachnospiracea_incertae_sedis(0.55)
COTU-TEST-0130	86	108	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Anaerotruncus(0.83)
COTU-TEST-0131	9	3	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.99)	Lachnospiracea_incertae_sedis(0.39)
COTU-TEST-0132	27	15	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.97)	Ruminococcus2(0.38)
COTU-TEST-0133	73	18	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Roseburia(0.9)
COTU-TEST-0135	20	15	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Lachnospiracea_incertae_sedis(0.78)
COTU-TEST-0136	23	12	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Lachnospiracea_incertae_sedis(0.84)
COTU-TEST-0137	15	5	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.99)	Coprococcus(0.31)
COTU-TEST-0138	87	168	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(1.0)	Lachnospiracea_incertae_sedis(0.25)
COTU-TEST-0139	10	10	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Lachnospiraceae(0.99)	Lachnospiracea_incertae_sedis(0.38)
COTU-TEST-0140	10	8	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Oscillibacter(1.0)
COTU-TEST-0141	6	6	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Oscillibacter(1.0)
COTU-TEST-0142	49	53	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Oscillibacter(1.0)
COTU-TEST-0143	6	3	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Oscillibacter(0.64)
COTU-TEST-0144	9	30	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Intestinimonas(0.62)
COTU-TEST-0145	13	15	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Flavonifractor(0.86)
COTU-TEST-0146	4	6	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Flavonifractor(0.83)
COTU-TEST-0147	2	12	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Flavonifractor(0.94)
COTU-TEST-0148	6	8	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(0.99)	Clostridiales(0.99)	Ruminococcaceae(0.93)	Sporobacter(0.38)
COTU-TEST-0149	8	6	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Pseudoflavonifractor(0.31)
COTU-TEST-0150	7	6	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Pseudoflavonifractor(0.6)
COTU-TEST-0151	1	6	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Pseudoflavonifractor(0.51)
COTU-TEST-0152	20	8	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Pseudoflavonifractor(0.78)
